id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19
14568477-14568477_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15808992-15808992_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15808992-15808992_analysis_1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16171833-16171833_analysis_2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16171833-16171833_analysis_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16406606-16406606_analysis_0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16406606-16406606_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17964185-17964185_analysis_0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
