stage,metric,value,ci_lower,ci_upper
search,true_positives,142,,
search,false_negatives,49,,
search,false_positives,1028,,
search,recall,0.743455497382199,0.6771447259258051,0.8001660742318614
search,precision,0.12136752136752137,0.1038843492358417,0.1413289742653871
abstract,true_positives,140,,
abstract,false_negatives,2,,
abstract,false_positives,425,,
abstract,recall_in_search,0.9859154929577465,0.9501030115661628,0.996129064878418
abstract,recall_all_meta,0.7329842931937173,0.6661011068186194,0.7906801965580722
abstract,precision,0.24778761061946902,0.2139711094567333,0.2850106809045904
fulltext,true_positives,130,,
fulltext,false_negatives,8,,
fulltext,false_positives,258,,
fulltext,additional_false_negatives,8,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,2,,
fulltext,false_negatives_all_texts,12,,
fulltext,false_negatives_fulltext_only,8,,
fulltext,omitted_incomplete_fulltext,2,,
fulltext,recall_in_search,0.9420289855072463,0.8897784528966086,0.9703359282158435
fulltext,recall_fulltext_only,0.9420289855072463,0.8897784528966086,0.9703359282158435
fulltext,absolute_recall_all_texts,0.9154929577464789,0.8580978629768358,0.9509991299250523
fulltext,recall_all_meta,0.680628272251309,0.6115037133368553,0.7426301061349618
fulltext,precision,0.33505154639175255,0.2899048255603736,0.3834325638337079
fulltext,precision_fulltext_only,0.33505154639175255,0.2899048255603736,0.3834325638337079
fulltext_with_coords,true_positives,103,,
fulltext_with_coords,false_negatives,35,,
fulltext_with_coords,false_positives,156,,
fulltext_with_coords,omitted_incomplete_fulltext,2,,
fulltext_with_coords,recall_in_search,0.7463768115942029,0.6677913148882455,0.8116167008137769
fulltext_with_coords,recall_all_meta,0.5392670157068062,0.46849758740917774,0.6084880255194781
fulltext_with_coords,precision,0.39768339768339767,0.3399914797367077,0.45836616228038546
